Date,Customer,Account number,Account name,Account status,Campaign name,Campaign status,Ad group ID,Ad group,Ad group status,Ad ID,Ad description,Ad distribution,Ad status,Ad title,Ad type,Tracking Template,Custom Parameters,Final Mobile URL,Final URL,Top vs. other,Display URL,Final App URL,Destination URL,Device type,Device OS,Delivered match type,BidMatchType,Language,Network,Currency code,Impressions,Clicks,Spend,Avg. position,Conversions,Assists
1/11/2026,43235,X00086N2,atlanta-ATT,Active,Brand,Active,[2709719083],AT&T,Active,[6772783690],We're connecting the world like never before. Apply today!,Search,Active,Jobs and Careers at AT&T,Text ad,,,,,Bing and Yahoo! search - Top,att.jobs,,https://ad.doubleclick.net/ddm/clk/300454669;127096098;o?https://connect.att.jobs,Computer,Unknown,Exact,Exact,English,Bing and Yahoo! search,USD,5,0,0,1,0,0
1/11/2026,43235,X00086N2,atlanta-ATT,Active,Brand,Active,[2709719083],AT&T,Active,[6772783691],Together we can do great things. Explore the possibilities.,Search,Active,Jobs and Careers at AT&T,Text ad,,,,,Bing and Yahoo! search - Top,att.jobs,,https://ad.doubleclick.net/ddm/clk/300454669;127096098;o?https://connect.att.jobs,Computer,Unknown,Exact,Exact,English,Bing and Yahoo! search,USD,9,6,0.3,1.11,0,0
1/11/2026,43235,X00086N2,atlanta-ATT,Active,Brand,Active,[2709719085],att,Active,[6772783695],Together we can do great things. Explore the possibilities.,Search,Active,Jobs and Careers at AT&T,Text ad,,,,,Bing and Yahoo! search - Top,att.jobs,,https://ad.doubleclick.net/ddm/clk/300454669;127096098;o?https://connect.att.jobs,Computer,Unknown,Exact,Exact,English,Bing and Yahoo! search,USD,1,1,0.1,1,0,0
1/11/2026,43235,X00086N2,atlanta-ATT,Active,Brand,Active,[2709719085],att,Active,[6772783697],We're connecting the world like never before. Apply today!,Search,Active,Jobs and Careers at AT&T,Text ad,,,,,Bing and Yahoo! search - Top,att.jobs,,https://ad.doubleclick.net/ddm/clk/300454669;127096098;o?https://connect.att.jobs,Computer,Unknown,Exact,Exact,English,Bing and Yahoo! search,USD,2,1,0.05,2.5,0,0
1/11/2026,11291897,F114CRSD,new-york-columbia2-pbpm,Active,Career Change - Dentistry/Doctor,Active,[1223756464181231],Career Change - Dentistry,Active,[76484784115966],Realize your future in dentistry. Postbac Premed at Columbia.,Search,Active,Dentistry at Columbia,Text ad,,,,http://www.gs.columbia.edu/postbac/realize/?source=PGCN,Bing and Yahoo! search - Top,www.gs.columbia.edu,,,Computer,Unknown,Exact,Phrase,English,Bing and Yahoo! search,USD,2,0,0,1.5,0,0
1/11/2026,11291897,F114CRSD,new-york-columbia2-pbpm,Active,Career Change - Medical/EMT/Paramedic,Active,[1209462813024242],Career Change - EMT,Active,[75591430919780],Realize your future in emergency medicine. Columbia Postbac Premed,Search,Active,EMT Program at Columbia,Text ad,,,,http://www.gs.columbia.edu/postbac/realize/?source=PGCN,Bing and Yahoo! search - Top,www.gs.columbia.edu,,,Computer,Unknown,Exact,Phrase,English,Bing and Yahoo! search,USD,2,0,0,3,0,0
1/11/2026,11291897,F114CRSD,new-york-columbia2-pbpm,Active,Career Change - Occupational/Physical Therapist - Content,Active,[1220457929291868],Career Change - Physical Therapist - Content,Active,[76278625683346],Realize your future in physical therapy. Postbac Premed at Columbia,Search,Active,Physical Therapy Program,Text ad,,,,http://www.gs.columbia.edu/postbac/realize/?source=PGCN,Bing and Yahoo! search - Top,www.gs.columbia.edu,,,Computer,Unknown,Exact,Phrase,English,Bing and Yahoo! search,USD,1,0,0,2,0,0
1/11/2026,11291897,F114CRSD,new-york-columbia2-pbpm,Active,Career Change - Occupational/Physical Therapist - SN,Active,[1218258906033354],Career Change - Physical Therapist,Active,[76141186733037],Realize your future in physical therapy. Postbac Premed at Columbia,Search,Active,Physical Therapy Program,Text ad,,,,http://www.gs.columbia.edu/postbac/realize/?source=PGCN,Bing and Yahoo! search - Top,www.gs.columbia.edu,,,Computer,Unknown,Exact,Phrase,English,Bing and Yahoo! search,USD,23,0,0,3.13,0,0
1/11/2026,11291897,F114CRSD,new-york-columbia2-pbpm,Active,Career Change - Pharmacist/Physician Assistant,Active,[1208363301403297],Career Change - Pharmacist,Active,[75522711451817],Realize your Future in Pharmacy? Postbac Premed at Columbia,Search,Active,Pharmacy Program,Text ad,,,,http://www.gs.columbia.edu/postbac/realize/?source=PGCN,Bing and Yahoo! search - Top,www.gs.columbia.edu,,,Computer,Unknown,Exact,Phrase,English,Bing and Yahoo! search,USD,1,0,0,3,0,0
1/11/2026,11291897,F114CRSD,new-york-columbia2-pbpm,Active,Career Change - Veterinarian,Active,[1216059882782056],Career Change - Veterinarian,Active,[76003747777036],Realize your future in Veterinary Medicine. Postbac Premed @ Columbia,Search,Active,Veterinarian Programs,Text ad,,,,http://www.gs.columbia.edu/postbac/realize/?source=PGCN,Bing and Yahoo! search - Top,www.gs.columbia.edu,,,Computer,Unknown,Exact,Phrase,English,Bing and Yahoo! search,USD,3,0,0,3.67,0,0
